isolate,accession,location,date,species,sample_id
D_mel_USA_2023_CVID-1006-H3_Chaq_virus_Complete_CDS,PQ625185,Colorado,2023,melanogaster,CVID-1006-H3
D_mel_USA_2023_James-A5_Chaq_virus_Complete_CDS,PQ625186,Colorado,2023,melanogaster,James-A5
D_mel_USA_2023_ME-F-1_Chaq_virus_Complete_CDS_1,PQ625187,Colorado,2023,melanogaster,ME-F-1
D_mel_USA_2023_ME-F-1_Chaq_virus_Complete_CDS_2,PQ625188,Maine,2023,melanogaster,ME-F-1
D_mel_USA_2023_ME-F-2_Chaq_virus_Partial_CDS,PQ625189,Maine,2023,melanogaster,ME-F-2
D_mel_USA_2023_ME-F-3_Chaq_virus_Complete_CDS,PQ625190,Maine,2023,melanogaster,ME-F-3
D_mel_USA_2023_ME-M-1_Chaq_virus_Complete_CDS,PQ625191,Maine,2023,melanogaster,ME-M-1
D_mel_USA_2023_ME-M-2_Chaq_virus_Complete_CDS_1,PQ625192,Maine,2023,melanogaster,ME-M-2
D_mel_USA_2023_ME-M-2_Chaq_virus_Complete_CDS_2,PQ625193,Maine,2023,melanogaster,ME-M-2
D_mel_USA_2023_ME-M-7_Chaq_virus_Complete_CDS_1,PQ625194,Maine,2023,melanogaster,ME-M-7
D_mel_USA_2023_ME-M-8_Chaq_virus_Complete_CDS,PQ625195,Maine,2023,melanogaster,ME-M-8
D_mel_USA_2023_ME-M-11_Chaq_virus_Complete_CDS,PQ625196,Maine,2023,melanogaster,ME-M-11
D_mel_USA_2023_Myrtle-E9_Chaq_virus_Complete_CDS,PQ625197,Colorado,2023,melanogaster,Myrtle-E9
D_mel_USA_2023_OH-M-5_Chaq_virus_Complete_CDS,PQ625198,Ohio,2023,melanogaster,OH-M-5
D_mel_USA_2023_Peach-13-H7_Chaq_virus_Complete_CDS,PQ625199,Colorado,2023,melanogaster,Peach-13-H7
D_mel_USA_2023_Penn-F-1_Chaq_virus_Complete_CDS,PQ625200,Pennsylvania,2023,melanogaster,Penn-F-1
D_mel_USA_2023_Penn-F-2_Chaq_virus_Complete_CDS_1,PQ625201,Pennsylvania,2023,melanogaster,Penn-F-2
D_mel_USA_2023_Penn-F-2_Chaq_virus_Complete_CDS_2,PQ625202,Pennsylvania,2023,melanogaster,Penn-F-2
D_mel_USA_2023_Penn-F-3_Chaq_virus_Complete_CDS,PQ625203,Pennsylvania,2023,melanogaster,Penn-F-3
D_mel_USA_2023_Penn-F-4_Chaq_virus_Complete_CDS,PQ625204,Pennsylvania,2023,melanogaster,Penn-F-4
D_mel_USA_2023_Penn-F-6_Chaq_virus_Complete_CDS,PQ625205,Pennsylvania,2023,melanogaster,Penn-F-6
D_mel_USA_2023_Penn-F-9_Chaq_virus_Complete_CDS,PQ625206,Pennsylvania,2023,melanogaster,Penn-F-9
D_mel_USA_2023_Penn-F-12_Chaq_virus_Complete_CDS,PQ625207,Pennsylvania,2023,melanogaster,Penn-F-12
D_mel_USA_2023_Penn-M-2_Chaq_virus_Complete_CDS_1,PQ625208,Pennsylvania,2023,melanogaster,Penn-M-2
D_mel_USA_2023_Penn-M-2_Chaq_virus_Complete_CDS_2,PQ625209,Pennsylvania,2023,melanogaster,Penn-M-2
D_mel_USA_2023_Penn-M-8_Chaq_virus_Complete_CDS,PQ625210,Pennsylvania,2023,melanogaster,Penn-M-8
D_mel_USA_2023_Penn-M-10_Chaq_virus_Complete_CDS,PQ625211,Pennsylvania,2023,melanogaster,Penn-M-10
D_mel_USA_2023_Penn-M-11_Chaq_virus_Complete_CDS_1,PQ625212,Pennsylvania,2023,melanogaster,Penn-M-11
D_mel_USA_2023_Penn-M-14_Chaq_virus_Complete_CDS,PQ625213,Pennsylvania,2023,melanogaster,Penn-M-14
D_sim_USA_2023_ME-M-3_Chaq_virus_Complete_CDS,PQ625214,Maine,2023,undetermined,ME-M-3
,MH384356,Australia,2008,melanogaster,
,MH384363,Australia,2008,melanogaster,
,MH384367,Australia,2008,melanogaster,
,MH384375,Australia,2008,melanogaster,
,MH384381,Australia,2008,melanogaster,
,MT742163,Colorado,2017,melanogaster,
,MT742167,Colorado,2018,melanogaster,
,MW976837,Australia,2018,simulans,
,MW976840,Australia,2018,simulans,
,MW976841,Australia,2018,simulans,
,MW976842,Australia,2018,simulans,
,MW976843,Australia,2018,simulans,
,MW976844,Australia,2018,simulans,
,MW976845,Australia,2018,simulans,
,MW976846,Australia,2018,simulans,
,MW976847,Australia,2018,simulans,
,MW976848,Australia,2018,simulans,
,OR729013,Colorado,2020,melanogaster,
,OR729014,Colorado,2020,melanogaster,
,OR729015,Colorado,2020,melanogaster,
,OR729016,Colorado,2020,melanogaster,
,OR729017,Colorado,2021,melanogaster,
,OR729018,Colorado,2021,melanogaster,
,OR729019,Colorado,2021,melanogaster,
,OR729020,Colorado,2021,melanogaster,
,OR729021,Colorado,2021,melanogaster,
,OR729022,Colorado,2021,melanogaster,
,OR729023,Colorado,2021,melanogaster,
,OR729024,Colorado,2021,melanogaster,
,OR729025,Colorado,2021,melanogaster,
,OR729026,Colorado,2021,melanogaster,
,OR729027,Colorado,2021,melanogaster,
,OR729028,Colorado,2021,melanogaster,
,OR729029,Colorado,2021,melanogaster,
,OR729030,Colorado,2021,melanogaster,
,OR729031,Colorado,2021,melanogaster,
,OR729032,Colorado,2021,melanogaster,
,OR729033,Colorado,2021,melanogaster,
,OR729034,Colorado,2021,melanogaster,
,OR729035,Colorado,2021,melanogaster,
,OR729036,Colorado,2021,melanogaster,
,OR820567,Illinois,1930,melanogaster,
,OR820571,Minnesota,1919,melanogaster,
,OR820594,California,2000,simulans,
PV185880,SRX10234784_Chaq,Australia,2018,simulans,
