isolate,accession,location,date,species
D_mel_USA_2023_ME-M-17_Galbut_virus_RNA2_Complete_CDS,PQ625029,Maine,2023,melanogaster
D_mel_USA_2023_ME-M-18_Galbut_virus_RNA2_Complete_CDS,PQ625030,Maine,2023,melanogaster
D_mel_USA_2023_ME-M-19_Galbut_virus_RNA2_Complete_CDS,PQ625031,Maine,2023,melanogaster
D_mel_USA_2023_ME-M-20_Galbut_virus_RNA2_Complete_CDS,PQ625032,Maine,2023,melanogaster
D_mel_USA_2023_Myrtle-D5_Galbut_virus_RNA2_Complete_CDS,PQ625033,Colorado,2023,melanogaster
D_mel_USA_2023_Myrtle-D11_Galbut_virus_RNA2_Complete_CDS,PQ625034,Colorado,2023,melanogaster
D_mel_USA_2023_Myrtle-E9_Galbut_virus_RNA2_Complete_CDS,PQ625035,Colorado,2023,melanogaster
D_mel_USA_2023_OH-M-5_Galbut_virus_RNA2_Complete_CDs,PQ625036,Ohio,2023,melanogaster
D_mel_USA_2023_Peach-8-F7_Galbut_virus_RNA2_Complete_CDS,PQ625037,Colorado,2023,melanogaster
D_mel_USA_2023_Peach-9-F8_Galbut_virus_RNA2_Complete_CDS,PQ625038,Colorado,2023,melanogaster
D_mel_USA_2023_Peach-10-F10_Galbut_virus_RNA2_Complete_CDS,PQ625039,Colorado,2023,melanogaster
D_mel_USA_2023_Peach-13-H7_Galbut_virus_RNA2_Complete_CDS,PQ625040,Colorado,2023,melanogaster
D_mel_USA_2023_Penn-F-1_Galbut_virus_RNA2_Complete_CDS,PQ625041,Pennsylvania,2023,melanogaster
D_mel_USA_2023_Penn-F-2_Galbut_virus_RNA2_Complete_CDS,PQ625042,Pennsylvania,2023,melanogaster
D_mel_USA_2023_Penn-F-3_Galbut_virus_RNA2_Complete_CDS,PQ625043,Pennsylvania,2023,melanogaster
D_mel_USA_2023_Penn-F-4_Galbut_virus_RNA2_Complete_CDS_1,PQ625044,Pennsylvania,2023,melanogaster
D_mel_USA_2023_Penn-F-4_Galbut_virus_RNA2_Complete_CDS_2,PQ625045,Pennsylvania,2023,melanogaster
D_mel_USA_2023_Penn-F-6_Galbut_virus_RNA2_Complete_CDS_1,PQ625046,Pennsylvania,2023,melanogaster
D_mel_USA_2023_Penn-F-6_Galbut_virus_RNA2_Complete_CDS_2,PQ625047,Pennsylvania,2023,melanogaster
D_mel_USA_2023_Penn-F-9_Galbut_virus_RNA2_Complete_CDS,PQ625048,Pennsylvania,2023,melanogaster
D_mel_USA_2023_Penn-F-12_Galbut_virus_RNA2_Complete_CDS,PQ625049,Pennsylvania,2023,melanogaster
D_mel_USA_2023_Penn-M-2_Galbut_virus_RNA2_Complete_CDS,PQ625050,Pennsylvania,2023,melanogaster
D_mel_USA_2023_Penn-M-8_Galbut_virus_RNA2_Complete_CDS,PQ625051,Pennsylvania,2023,melanogaster
D_mel_USA_2023_Penn-M-10_Galbut_virus_RNA2_Complete_CDS,PQ625052,Pennsylvania,2023,melanogaster
D_mel_USA_2023_Penn-M-11_Galbut_virus_RNA2_Complete_CDS,PQ625053,Pennsylvania,2023,melanogaster
D_mel_USA_2023_Penn-M-14_Galbut_virus_RNA2_Complete_CDS,PQ625054,Pennsylvania,2023,melanogaster
D_mel_USA_2023_Penn-M-15_Galbut_virus_RNA2_Complete_CDS,PQ625055,Pennsylvania,2023,melanogaster
D_sim_USA_2023_ME-M-3_Galbut_virus_RNA2_Complete_CDS,PQ625056,Maine,2023,undetermined
,MH384336,Australia,2008,melanogaster
,MH384354,Australia,2008,melanogaster
,MH384361,Australia,2008,melanogaster
,MH384365,Australia,2008,melanogaster
,MH384373,Australia,2008,melanogaster
,MH384379,Australia,2008,melanogaster
,MT742161,Colorado,2017,melanogaster
,MT742165,Colorado,2018,melanogaster
,OR729037,Colorado,2020,melanogaster
,OR729038,Colorado,2020,melanogaster
,OR729039,Colorado,2020,melanogaster
,OR729040,Colorado,2020,melanogaster
,OR729041,Colorado,2020,melanogaster
,OR729042,Colorado,2020,melanogaster
,OR729043,Colorado,2021,melanogaster
,OR729044,Colorado,2021,melanogaster
,OR729045,Colorado,2021,melanogaster
,OR729046,Colorado,2021,melanogaster
,OR729047,Colorado,2021,melanogaster
,OR729048,Colorado,2021,melanogaster
,OR729049,Colorado,2021,melanogaster
,OR729050,Colorado,2021,melanogaster
,OR729051,Colorado,2021,melanogaster
,OR729052,Colorado,2021,melanogaster
,OR729053,Colorado,2021,melanogaster
,OR729054,Colorado,2021,melanogaster
,OR729055,Colorado,2021,melanogaster
,OR729056,Colorado,2021,melanogaster
,OR729057,Colorado,2021,melanogaster
,OR729058,Colorado,2021,melanogaster
,OR729059,Colorado,2021,melanogaster
,OR729060,Colorado,2021,melanogaster
,OR729061,Colorado,2021,melanogaster
,OR729062,Colorado,2021,melanogaster
,OR729063,Colorado,2021,melanogaster
,OR729064,Colorado,2021,melanogaster
,OR820561,Illinois,1908,melanogaster
,OR820568,Illinois,1930,melanogaster
,OR820574,Minnesota,1919,melanogaster
,OR820587,Pennsylvania,1963,melanogaster
,OR820595,California,2000,simulans
,OR820599,California,2011,simulans
PV185866,SRX10234776_RNA2,Australia,2018,simulans
PV185868,SRX10234777_RNA2,Australia,2018,simulans
PV185870,SRX10234778_RNA2,Australia,2018,simulans
PV185872,SRX10234779_RNA2,Australia,2018,simulans
PV185874,SRX10234780_RNA2,Australia,2018,simulans
PV185876,SRX10234781_RNA2,Australia,2018,simulans
PV185878,SRX10234782_RNA2,Australia,2018,simulans
PV185881,SRX10234784_RNA2,Australia,2018,simulans
PV185883,SRX10234785_RNA2,Australia,2018,simulans
PV185885,SRX10234786_RNA2,Australia,2018,simulans
PV185887,SRX10234787_RNA2,Australia,2018,simulans
PV185889,SRX10234788_RNA2,Australia,2018,simulans
PV185891,SRX10234789_RNA2,Australia,2018,simulans
PV185893,SRX10234790_RNA2,Australia,2018,simulans
