isolate,accession,location,date,species,sample_id,label_format,branch_format
D_mel_USA_2023_1020-F-0818-D4_Galbut_virus_RNA3_Complete_CDS,PQ624880,Colorado,2023,melanogaster,Colorado_2023_PQ624880,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-F-0818-D11_Galbut_virus_RNA3_Complete_CDS,PQ624881,Colorado,2023,melanogaster,Colorado_2023_PQ624881,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-G3_Galbut_virus_RNA3_Complete_CDS,PQ624882,Colorado,2023,melanogaster,Colorado_2023_PQ624882,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-M-8_Galbut_virus_RNA3_Complete_CDS,PQ624883,Colorado,2023,melanogaster,Colorado_2023_PQ624883,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-M-19_Galbut_virus_RNA3_Complete_CDS,PQ624884,Colorado,2023,melanogaster,Colorado_2023_PQ624884,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-M-0818-A5_Galbut_virus_RNA3_Complete_CDS,PQ624885,Colorado,2023,melanogaster,Colorado_2023_PQ624885,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-M-0818-A7_Galbut_virus_RNA3_Complete_CDS,PQ624886,Colorado,2023,melanogaster,Colorado_2023_PQ624886,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1020-M-0818-A10_Galbut_virus_RNA3_Complete_CDS,PQ624887,Colorado,2023,melanogaster,Colorado_2023_PQ624887,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1428-F-8_Galbut_virus_RNA3_Complete_CDS,PQ624888,Colorado,2023,melanogaster,Colorado_2023_PQ624888,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1428-F-21_Galbut_virus_RNA3_Complete_CDS,PQ624889,Colorado,2023,melanogaster,Colorado_2023_PQ624889,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1428-M-3_Galbut_virus_RNA3_Complete_CDS_1,PQ624890,Colorado,2023,melanogaster,Colorado_2023_PQ624890,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1428-M-3_Galbut_virus_RNA3_Complete_CDS_2,PQ624891,Colorado,2023,melanogaster,Colorado_2023_PQ624891,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1428-M-4_Galbut_virus_RNA3_Complete_CDS,PQ624892,Colorado,2023,melanogaster,Colorado_2023_PQ624892,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1428-M-6_Galbut_virus_RNA3_Complete_CDS,PQ624893,Colorado,2023,melanogaster,Colorado_2023_PQ624893,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1428-M-21_Galbut_virus_RNA3_Complete_CDS,PQ624894,Colorado,2023,melanogaster,Colorado_2023_PQ624894,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_1428-M-42_Galbut_virus_RNA3_Complete_CDS,PQ624895,Colorado,2023,melanogaster,Colorado_2023_PQ624895,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_Adobe-B4_Galbut_virus_RNA3_Complete_CDS,PQ624896,Colorado,2023,melanogaster,Colorado_2023_PQ624896,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_Adobe-B6_Galbut_virus_RNA3_Complete_CDS,PQ624897,Colorado,2023,melanogaster,Colorado_2023_PQ624897,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_Adobe-B8_Galbut_virus_RNA3_Complete_CDS,PQ624898,Colorado,2023,melanogaster,Colorado_2023_PQ624898,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_Adobe-C2_Galbut_virus_RNA3_Complete_CDS,PQ624899,Colorado,2023,melanogaster,Colorado_2023_PQ624899,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_Briarwood-D9_Galbut_virus_RNA3_Complete_CDS,PQ624900,Colorado,2023,melanogaster,Colorado_2023_PQ624900,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_CVID-0825-B1_Galbut_virus_RNA3_Complete_CDS,PQ624901,Colorado,2023,melanogaster,Colorado_2023_PQ624901,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_CVID-0825-C10_Galbut_virus_RNA3_Complete_CDS,PQ624902,Colorado,2023,melanogaster,Colorado_2023_PQ624902,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_CVID-0911-F4_Galbut_virus_RNA3_Complete_CDS,PQ624903,Colorado,2023,melanogaster,Colorado_2023_PQ624903,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_CVID-1006-G6_Galbut_virus_RNA3_Complete_CDS,PQ624904,Colorado,2023,melanogaster,Colorado_2023_PQ624904,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_CVID-1006-G7_Galbut_virus_RNA3_Complete_CDS,PQ624905,Colorado,2023,melanogaster,Colorado_2023_PQ624905,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_CVID-1006-H2_Galbut_virus_RNA3_Complete_CDS,PQ624906,Colorado,2023,melanogaster,Colorado_2023_PQ624906,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_CVID-1006-H3_Galbut_virus_RNA3_Complete_CDS,PQ624907,Colorado,2023,melanogaster,Colorado_2023_PQ624907,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_James-A4_Galbut_virus_RNA3_Complete_CDS,PQ624908,Colorado,2023,melanogaster,Colorado_2023_PQ624908,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_James-A5_Galbut_virus_RNA3_Complete_CDS,PQ624909,Colorado,2023,melanogaster,Colorado_2023_PQ624909,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_ME-F-1_Galbut_virus_RNA3_Complete_CDS,PQ624910,Maine,2023,melanogaster,Maine_2023_PQ624910,label #f44336 normal 1,label #CC6600 normal 1
D_mel_USA_2023_ME-F-2_Galbut_virus_RNA3_Complete_CDS,PQ624911,Maine,2023,melanogaster,Maine_2023_PQ624911,label #f44336 normal 1,label #CC6600 normal 1
D_mel_USA_2023_ME-F-3_Galbut_virus_RNA3_Complete_CDS,PQ624912,Maine,2023,melanogaster,Maine_2023_PQ624912,label #f44336 normal 1,label #CC6600 normal 1
D_mel_USA_2023_ME-F-9_Galbut_virus_RNA3_Complete_CDS,PQ624913,Maine,2023,melanogaster,Maine_2023_PQ624913,label #f44336 normal 1,label #CC6600 normal 1
D_mel_USA_2023_ME-M-1_Galbut_virus_RNA3_Complete_CDS,PQ624914,Maine,2023,melanogaster,Maine_2023_PQ624914,label #f44336 normal 1,label #CC6600 normal 1
D_mel_USA_2023_ME-M-2_Galbut_virus_RNA3_Complete_CDS,PQ624915,Maine,2023,melanogaster,Maine_2023_PQ624915,label #f44336 normal 1,label #CC6600 normal 1
D_mel_USA_2023_ME-M-4_Galbut_virus_RNA3_Complete_CDS,PQ624916,Maine,2023,melanogaster,Maine_2023_PQ624916,label #f44336 normal 1,label #CC6600 normal 1
D_mel_USA_2023_ME-M-6_Galbut_virus_RNA3_Complete_CDS,PQ624917,Maine,2023,melanogaster,Maine_2023_PQ624917,label #f44336 normal 1,label #CC6600 normal 1
D_mel_USA_2023_ME-M-7_Galbut_virus_RNA3_Complete_CDS_1,PQ624918,Maine,2023,melanogaster,Maine_2023_PQ624918,label #f44336 normal 1,label #CC6600 normal 1
D_mel_USA_2023_ME-M-7_Galbut_virus_RNA3_Complete_CDS_2,PQ624919,Maine,2023,melanogaster,Maine_2023_PQ624919,label #f44336 normal 1,label #CC6600 normal 1
D_mel_USA_2023_ME-M-8_Galbut_virus_RNA3_Complete_CDS_1,PQ624920,Maine,2023,melanogaster,Maine_2023_PQ624920,label #f44336 normal 1,label #CC6600 normal 1
D_mel_USA_2023_ME-M-8_Galbut_virus_RNA3_Complete_CDS_2,PQ624921,Maine,2023,melanogaster,Maine_2023_PQ624921,label #f44336 normal 1,label #CC6600 normal 1
D_mel_USA_2023_ME-M-10_Galbut_virus_RNA3_Complete_CDS,PQ624922,Maine,2023,melanogaster,Maine_2023_PQ624922,label #f44336 normal 1,label #CC6600 normal 1
D_mel_USA_2023_ME-M-11_Galbut_virus_RNA3_Complete_CDS,PQ624923,Maine,2023,melanogaster,Maine_2023_PQ624923,label #f44336 normal 1,label #CC6600 normal 1
D_mel_USA_2023_ME-M-14_Galbut_virus_RNA3_Complete_CDS,PQ624924,Maine,2023,melanogaster,Maine_2023_PQ624924,label #f44336 normal 1,label #CC6600 normal 1
D_mel_USA_2023_ME-M-17_Galbut_virus_RNA3_Complete_CDS,PQ624925,Maine,2023,melanogaster,Maine_2023_PQ624925,label #f44336 normal 1,label #CC6600 normal 1
D_mel_USA_2023_ME-M-18_Galbut_virus_RNA3_Complete_CDS,PQ624926,Maine,2023,melanogaster,Maine_2023_PQ624926,label #f44336 normal 1,label #CC6600 normal 1
D_mel_USA_2023_ME-M-19_Galbut_virus_RNA3_Complete_CDS,PQ624927,Maine,2023,melanogaster,Maine_2023_PQ624927,label #f44336 normal 1,label #CC6600 normal 1
D_mel_USA_2023_ME-M-20_Galbut_virus_RNA3_Complete_CDS,PQ624928,Maine,2023,melanogaster,Maine_2023_PQ624928,label #f44336 normal 1,label #CC6600 normal 1
D_mel_USA_2023_Myrtle-D5_Galbut_virus_RNA3_Complete_CDS,PQ624929,Colorado,2023,melanogaster,Colorado_2023_PQ624929,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_Myrtle-D11_Galbut_virus_RNA3_Complete_CDS,PQ624930,Colorado,2023,melanogaster,Colorado_2023_PQ624930,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_Myrtle-E9_Galbut_virus_RNA3_Complete_CDS,PQ624931,Colorado,2023,melanogaster,Colorado_2023_PQ624931,label #0000FF normal 1,label #0000FF normal 1
D_mel_USA_2023_OH-M-5_Galbut_virus_RNA3_Complete_CDS,PQ624932,Ohio,2023,melanogaster,Ohio_2023_PQ624932,label #CC6600 normal 1,label #CC6600 normal 1
D_mel_USA_2023_Peach-8-F7_Galbut_virus_RNA3_Complete_CDS,PQ624933,Unknown,2023,melanogaster,Unknown_2023_PQ624933,NA,NA
D_mel_USA_2023_Peach-9-F8_Galbut_virus_RNA3_Complete_CDs,PQ624934,Unknown,2023,melanogaster,Unknown_2023_PQ624934,NA,NA
D_mel_USA_2023_Peach-10-F10_Galbut_virus_RNA3_Complete_CDS,PQ624935,Unknown,2023,melanogaster,Unknown_2023_PQ624935,NA,NA
D_mel_USA_2023_Peach-13-H7_Galbut_virus_RNA3_Complete_CDS_1,PQ624936,Unknown,2023,melanogaster,Unknown_2023_PQ624936,NA,NA
D_mel_USA_2023_Peach-13-H7_Galbut_virus_RNA3_Partial_CDS_2,PQ624937,Unknown,2023,melanogaster,Unknown_2023_PQ624937,NA,NA
D_mel_USA_2023_Penn-F-1_Galbut_virus_RNA3_Complete_CDS,PQ624938,Pennsylvania,2023,melanogaster,Pennsylvania_2023_PQ624938,label #5b5b5b normal 1,label #CC6600 normal 1
D_mel_USA_2023_Penn-F-2_Galbut_virus_RNA3_Complete_CDS,PQ624939,Pennsylvania,2023,melanogaster,Pennsylvania_2023_PQ624939,label #5b5b5b normal 1,label #CC6600 normal 1
D_mel_USA_2023_Penn-F-3_Galbut_virus_RNA3_Complete_CDS,PQ624940,Pennsylvania,2023,melanogaster,Pennsylvania_2023_PQ624940,label #5b5b5b normal 1,label #CC6600 normal 1
D_mel_USA_2023_Penn-F-4_Galbut_virus_RNA3_Complete_CDS_1,PQ624941,Pennsylvania,2023,melanogaster,Pennsylvania_2023_PQ624941,label #5b5b5b normal 1,label #CC6600 normal 1
D_mel_USA_2023_Penn-F-4_Galbut_virus_RNA3_Complete_CDS_2,PQ624942,Pennsylvania,2023,melanogaster,Pennsylvania_2023_PQ624942,label #5b5b5b normal 1,label #CC6600 normal 1
D_mel_USA_2023_Penn-F-9_Galbut_virus_RNA3_Complete_CDS,PQ624943,Pennsylvania,2023,melanogaster,Pennsylvania_2023_PQ624943,label #5b5b5b normal 1,label #CC6600 normal 1
D_mel_USA_2023_Penn-F-12_Galbut_virus_RNA3_Complete_CDS,PQ624944,Pennsylvania,2023,melanogaster,Pennsylvania_2023_PQ624944,label #5b5b5b normal 1,label #CC6600 normal 1
D_mel_USA_2023_Penn-M-2_Galbut_virus_RNA3_Complete_CDS_1,PQ624945,Pennsylvania,2023,melanogaster,Pennsylvania_2023_PQ624945,label #5b5b5b normal 1,label #CC6600 normal 1
D_mel_USA_2023_Penn-M-2_Galbut_virus_RNA3_Complete_CDS_2,PQ624946,Pennsylvania,2023,melanogaster,Pennsylvania_2023_PQ624946,label #5b5b5b normal 1,label #CC6600 normal 1
D_mel_USA_2023_Penn-M-8_Galbut_virus_RNA3_Complete_CDS,PQ624947,Pennsylvania,2023,melanogaster,Pennsylvania_2023_PQ624947,label #5b5b5b normal 1,label #CC6600 normal 1
D_mel_USA_2023_Penn-M-10_Galbut_virus_RNA3_Complete_CDS,PQ624948,Pennsylvania,2023,melanogaster,Pennsylvania_2023_PQ624948,label #5b5b5b normal 1,label #CC6600 normal 1
D_mel_USA_2023_Penn-M-11_Galbut_virus_RNA3_Complete_CDS,PQ624949,Pennsylvania,2023,melanogaster,Pennsylvania_2023_PQ624949,label #5b5b5b normal 1,label #CC6600 normal 1
D_mel_USA_2023_Penn-M-14_Galbut_virus_RNA3_Complete_CDS,PQ624950,Pennsylvania,2023,melanogaster,Pennsylvania_2023_PQ624950,label #5b5b5b normal 1,label #CC6600 normal 1
D_mel_USA_2023_Penn-M-15_Galbut_virus_RNA3_Complete_CDS,PQ624951,Pennsylvania,2023,melanogaster,Pennsylvania_2023_PQ624951,label #5b5b5b normal 1,label #CC6600 normal 1
D_sim_USA_2023_ME-M-3_Galbut_virus_RNA3_Complete_CDS,PQ624952,Maine,2023,undetermined,Maine_2023_PQ624952,label #f44336 normal 1,label #CC6600 normal 1
,MH384337,Australia,2008,melanogaster,Australia_2008_MH384337,label #b45f06 normal 1,label #A0A0A0 normal 1
,MH384355,Australia,2008,melanogaster,Australia_2008_MH384355,label #b45f06 normal 1,label #A0A0A0 normal 1
,MH384362,Australia,2008,melanogaster,Australia_2008_MH384362,label #b45f06 normal 1,label #A0A0A0 normal 1
,MH384366,Australia,2008,melanogaster,Australia_2008_MH384366,label #b45f06 normal 1,label #A0A0A0 normal 1
,MH384374,Australia,2008,melanogaster,Australia_2008_MH384374,label #b45f06 normal 1,label #A0A0A0 normal 1
,MH384380,Australia,2008,melanogaster,Australia_2008_MH384380,label #b45f06 normal 1,label #A0A0A0 normal 1
,MT742162,Colorado,2017,melanogaster,Colorado_2017_MT742162,label #0000FF normal 1,label #0000FF normal 1
,MT742166,Colorado,2018,melanogaster,Colorado_2018_MT742166,label #0000FF normal 1,label #0000FF normal 1
,OR729065,Colorado,2020,melanogaster,Colorado_2020_OR729065,label #0000FF normal 1,label #0000FF normal 1
,OR729066,Colorado,2020,melanogaster,Colorado_2020_OR729066,label #0000FF normal 1,label #0000FF normal 1
,OR729067,Colorado,2020,melanogaster,Colorado_2020_OR729067,label #0000FF normal 1,label #0000FF normal 1
,OR729068,Colorado,2020,melanogaster,Colorado_2020_OR729068,label #0000FF normal 1,label #0000FF normal 1
,OR729069,Colorado,2020,melanogaster,Colorado_2020_OR729069,label #0000FF normal 1,label #0000FF normal 1
,OR729070,Colorado,2020,melanogaster,Colorado_2020_OR729070,label #0000FF normal 1,label #0000FF normal 1
,OR729071,Colorado,2021,melanogaster,Colorado_2021_OR729071,label #0000FF normal 1,label #0000FF normal 1
,OR729072,Colorado,2021,melanogaster,Colorado_2021_OR729072,label #0000FF normal 1,label #0000FF normal 1
,OR729073,Colorado,2021,melanogaster,Colorado_2021_OR729073,label #0000FF normal 1,label #0000FF normal 1
,OR729074,Colorado,2021,melanogaster,Colorado_2021_OR729074,label #0000FF normal 1,label #0000FF normal 1
,OR729075,Colorado,2021,melanogaster,Colorado_2021_OR729075,label #0000FF normal 1,label #0000FF normal 1
,OR729076,Colorado,2021,melanogaster,Colorado_2021_OR729076,label #0000FF normal 1,label #0000FF normal 1
,OR729077,Colorado,2021,melanogaster,Colorado_2021_OR729077,label #0000FF normal 1,label #0000FF normal 1
,OR729078,Colorado,2021,melanogaster,Colorado_2021_OR729078,label #0000FF normal 1,label #0000FF normal 1
,OR729079,Colorado,2021,melanogaster,Colorado_2021_OR729079,label #0000FF normal 1,label #0000FF normal 1
,OR729080,Colorado,2021,melanogaster,Colorado_2021_OR729080,label #0000FF normal 1,label #0000FF normal 1
,OR729081,Colorado,2021,melanogaster,Colorado_2021_OR729081,label #0000FF normal 1,label #0000FF normal 1
,OR729082,Colorado,2021,melanogaster,Colorado_2021_OR729082,label #0000FF normal 1,label #0000FF normal 1
,OR729083,Colorado,2021,melanogaster,Colorado_2021_OR729083,label #0000FF normal 1,label #0000FF normal 1
,OR729084,Colorado,2021,melanogaster,Colorado_2021_OR729084,label #0000FF normal 1,label #0000FF normal 1
,OR729085,Colorado,2021,melanogaster,Colorado_2021_OR729085,label #0000FF normal 1,label #0000FF normal 1
,OR729086,Colorado,2021,melanogaster,Colorado_2021_OR729086,label #0000FF normal 1,label #0000FF normal 1
,OR729087,Colorado,2021,melanogaster,Colorado_2021_OR729087,label #0000FF normal 1,label #0000FF normal 1
,OR729088,Colorado,2021,melanogaster,Colorado_2021_OR729088,label #0000FF normal 1,label #0000FF normal 1
,OR729089,Colorado,2021,melanogaster,Colorado_2021_OR729089,label #0000FF normal 1,label #0000FF normal 1
,OR729090,Colorado,2021,melanogaster,Colorado_2021_OR729090,label #0000FF normal 1,label #0000FF normal 1
,OR729091,Colorado,2021,melanogaster,Colorado_2021_OR729091,label #0000FF normal 1,label #0000FF normal 1
,OR729092,Colorado,2021,melanogaster,Colorado_2021_OR729092,label #0000FF normal 1,label #0000FF normal 1
,OR820563,Illinois,1908,melanogaster,Illinois_1908_OR820563,label #351c75 normal 1,label #000000 normal 1
,OR820570,Illinois,1930,melanogaster,Illinois_1930_OR820570,label #351c75 normal 1,label #000000 normal 1
,OR820576,Minnesota,1919,melanogaster,Minnesota_1919_OR820576,label #134f5c normal 1,label #000000 normal 1
,OR820589,Pennsylvania,1963,melanogaster,Pennsylvania_1963_OR820589,label #5b5b5b normal 1,label #000000 normal 1
,OR820597,California,2000,simulans,California_2000_OR820597,label #0b5394 normal 1,label #000000 normal 1
,OR820601,California,2011,simulans,California_2011_OR820601,label #0b5394 normal 1,label #000000 normal 1
SRX10234776_RNA3,PV185867,Australia,2018,simulans,Australia_2018_PV185867,label #b45f06 normal 1,label #A0A0A0 normal 1
SRX10234777_RNA3,PV185869,Australia,2018,simulans,Australia_2018_PV185869,label #b45f06 normal 1,label #A0A0A0 normal 1
SRX10234778_RNA3,PV185871,Australia,2018,simulans,Australia_2018_PV185871,label #b45f06 normal 1,label #A0A0A0 normal 1
SRX10234779_RNA3,PV185873,Australia,2018,simulans,Australia_2018_PV185873,label #b45f06 normal 1,label #A0A0A0 normal 1
SRX10234780_RNA3,PV185875,Australia,2018,simulans,Australia_2018_PV185875,label #b45f06 normal 1,label #A0A0A0 normal 1
SRX10234781_RNA3,PV185877,Australia,2018,simulans,Australia_2018_PV185877,label #b45f06 normal 1,label #A0A0A0 normal 1
SRX10234782_RNA3,PV185879,Australia,2018,simulans,Australia_2018_PV185879,label #b45f06 normal 1,label #A0A0A0 normal 1
SRX10234784_RNA3,PV185882,Australia,2018,simulans,Australia_2018_PV185882,label #b45f06 normal 1,label #A0A0A0 normal 1
SRX10234785_RNA3,PV185884,Australia,2018,simulans,Australia_2018_PV185884,label #b45f06 normal 1,label #A0A0A0 normal 1
SRX10234786_RNA3,PV185886,Australia,2018,simulans,Australia_2018_PV185886,label #b45f06 normal 1,label #A0A0A0 normal 1
SRX10234787_RNA3,PV185888,Australia,2018,simulans,Australia_2018_PV185888,label #b45f06 normal 1,label #A0A0A0 normal 1
SRX10234788_RNA3,PV185890,Australia,2018,simulans,Australia_2018_PV185890,label #b45f06 normal 1,label #A0A0A0 normal 1
