isolate,accession,location,date,species,sample_id
D_mel_USA_2023_Penn-F-1_Galbut_virus_RNA3_Complete_CDS,PQ624938,Pennsylvania,2023,melanogaster,Penn-F-1
D_mel_USA_2023_Penn-F-2_Galbut_virus_RNA3_Complete_CDS,PQ624939,Pennsylvania,2023,melanogaster,Penn-F-2
D_mel_USA_2023_Penn-F-3_Galbut_virus_RNA3_Complete_CDS,PQ624940,Pennsylvania,2023,melanogaster,Penn-F-3
D_mel_USA_2023_Penn-F-4_Galbut_virus_RNA3_Complete_CDS_1,PQ624941,Pennsylvania,2023,melanogaster,Penn-F-4
D_mel_USA_2023_Penn-F-4_Galbut_virus_RNA3_Complete_CDS_2,PQ624942,Pennsylvania,2023,melanogaster,Penn-F-4
D_mel_USA_2023_Penn-F-9_Galbut_virus_RNA3_Complete_CDS,PQ624943,Pennsylvania,2023,melanogaster,Penn-F-9
D_mel_USA_2023_Penn-F-12_Galbut_virus_RNA3_Complete_CDS,PQ624944,Pennsylvania,2023,melanogaster,Penn-F-12
D_mel_USA_2023_Penn-M-2_Galbut_virus_RNA3_Complete_CDS_1,PQ624945,Pennsylvania,2023,melanogaster,Penn-M-2
D_mel_USA_2023_Penn-M-2_Galbut_virus_RNA3_Complete_CDS_2,PQ624946,Pennsylvania,2023,melanogaster,Penn-M-2
D_mel_USA_2023_Penn-M-8_Galbut_virus_RNA3_Complete_CDS,PQ624947,Pennsylvania,2023,melanogaster,Penn-M-8
D_mel_USA_2023_Penn-M-10_Galbut_virus_RNA3_Complete_CDS,PQ624948,Pennsylvania,2023,melanogaster,Penn-M-10
D_mel_USA_2023_Penn-M-11_Galbut_virus_RNA3_Complete_CDS,PQ624949,Pennsylvania,2023,melanogaster,Penn-M-11
D_mel_USA_2023_Penn-M-14_Galbut_virus_RNA3_Complete_CDS,PQ624950,Pennsylvania,2023,melanogaster,Penn-M-14
D_mel_USA_2023_Penn-M-15_Galbut_virus_RNA3_Complete_CDS,PQ624951,Pennsylvania,2023,melanogaster,Penn-M-15
D_sim_USA_2023_ME-M-3_Galbut_virus_RNA3_Complete_CDS,PQ624952,Maine,2023,undetermined,ME-M-3
,MH384337,Australia,2008,melanogaster,
,MH384355,Australia,2008,melanogaster,
,MH384362,Australia,2008,melanogaster,
,MH384366,Australia,2008,melanogaster,
,MH384374,Australia,2008,melanogaster,
,MH384380,Australia,2008,melanogaster,
,MT742162,Colorado,2017,melanogaster,
,MT742166,Colorado,2018,melanogaster,
,OR729065,Colorado,2020,melanogaster,
,OR729066,Colorado,2020,melanogaster,
,OR729067,Colorado,2020,melanogaster,
,OR729068,Colorado,2020,melanogaster,
,OR729069,Colorado,2020,melanogaster,
,OR729070,Colorado,2020,melanogaster,
,OR729071,Colorado,2021,melanogaster,
,OR729072,Colorado,2021,melanogaster,
,OR729073,Colorado,2021,melanogaster,
,OR729074,Colorado,2021,melanogaster,
,OR729075,Colorado,2021,melanogaster,
,OR729076,Colorado,2021,melanogaster,
,OR729077,Colorado,2021,melanogaster,
,OR729078,Colorado,2021,melanogaster,
,OR729079,Colorado,2021,melanogaster,
,OR729080,Colorado,2021,melanogaster,
,OR729081,Colorado,2021,melanogaster,
,OR729082,Colorado,2021,melanogaster,
,OR729083,Colorado,2021,melanogaster,
,OR729084,Colorado,2021,melanogaster,
,OR729085,Colorado,2021,melanogaster,
,OR729086,Colorado,2021,melanogaster,
,OR729087,Colorado,2021,melanogaster,
,OR729088,Colorado,2021,melanogaster,
,OR729089,Colorado,2021,melanogaster,
,OR729090,Colorado,2021,melanogaster,
,OR729091,Colorado,2021,melanogaster,
,OR729092,Colorado,2021,melanogaster,
,OR820563,Illinois,1908,melanogaster,
,OR820570,Illinois,1930,melanogaster,
,OR820576,Minnesota,1919,melanogaster,
,OR820589,Pennsylvania,1963,melanogaster,
,OR820597,California,2000,simulans,
,OR820601,California,2011,simulans,
PV185867,SRX10234776_RNA3,Australia,2018,simulans,
PV185869,SRX10234777_RNA3,Australia,2018,simulans,
PV185871,SRX10234778_RNA3,Australia,2018,simulans,
PV185873,SRX10234779_RNA3,Australia,2018,simulans,
PV185875,SRX10234780_RNA3,Australia,2018,simulans,
PV185877,SRX10234781_RNA3,Australia,2018,simulans,
PV185879,SRX10234782_RNA3,Australia,2018,simulans,
PV185882,SRX10234784_RNA3,Australia,2018,simulans,
PV185884,SRX10234785_RNA3,Australia,2018,simulans,
PV185886,SRX10234786_RNA3,Australia,2018,simulans,
PV185888,SRX10234787_RNA3,Australia,2018,simulans,
PV185890,SRX10234788_RNA3,Australia,2018,simulans,
PV185892,SRX10234789_RNA3,Australia,2018,simulans,
PV185894,SRX10234790_RNA3,Australia,2018,simulans,
